Date,Deaths
08-Jan-10,"12,968"
15-Jan-10,"12,541"
22-Jan-10,"11,762"
29-Jan-10,"11,056"
05-Feb-10,"10,524"
12-Feb-10,"10,117"
19-Feb-10,"10,102"
26-Feb-10,"10,295"
05-Mar-10,"9,981"
12-Mar-10,"9,792"
19-Mar-10,"9,729"
26-Mar-10,"9,631"
02-Apr-10,"8,004"
09-Apr-10,"9,756"
16-Apr-10,"9,892"
23-Apr-10,"9,449"
30-Apr-10,"9,503"
07-May-10,"8,343"
14-May-10,"9,483"
21-May-10,"9,190"
28-May-10,"9,452"
04-Jun-10,"8,178"
11-Jun-10,"9,259"
18-Jun-10,"8,513"
25-Jun-10,"8,461"
02-Jul-10,"8,973"
09-Jul-10,"8,627"
16-Jul-10,"8,541"
23-Jul-10,"8,261"
30-Jul-10,"8,257"
06-Aug-10,"8,467"
13-Aug-10,"8,318"
20-Aug-10,"8,584"
27-Aug-10,"8,635"
03-Sep-10,"7,708"
10-Sep-10,"8,961"
17-Sep-10,"8,727"
24-Sep-10,"8,943"
01-Oct-10,"8,759"
08-Oct-10,"9,195"
15-Oct-10,"9,218"
22-Oct-10,"9,286"
29-Oct-10,"9,275"
05-Nov-10,"9,668"
12-Nov-10,"9,406"
19-Nov-10,"9,437"
26-Nov-10,"9,473"
03-Dec-10,"9,220"
10-Dec-10,"11,193"
17-Dec-10,"10,880"
24-Dec-10,"11,484"
31-Dec-10,"9,689"
7-Jan-11,"12,644"
14-Jan-11,"13,133"
21-Jan-11,"11,438"
28-Jan-11,"10,555"
4-Feb-11,"10,235"
11-Feb-11,"10,019"
18-Feb-11,"9,757"
25-Feb-11,"9,433"
04-Mar-11,"9,453"
11-Mar-11,"9,648"
18-Mar-11,"9,842"
25-Mar-11,"9,707"
01-Apr-11,"9,312"
08-Apr-11,"9,557"
15-Apr-11,"9,327"
22-Apr-11,"8,335"
29-Apr-11,"8,064"
06-May-11,"9,853"
13-May-11,"10,140"
20-May-11,"8,949"
27-May-11,"9,163"
03-Jun-11,"7,913"
10-Jun-11,"9,254"
17-Jun-11,"8,961"
24-Jun-11,"8,715"
01-Jul-11,"8,710"
08-Jul-11,"8,705"
15-Jul-11,"8,461"
22-Jul-11,"8,500"
29-Jul-11,"8,456"
05-Aug-11,"8,787"
12-Aug-11,"8,573"
19-Aug-11,"8,426"
26-Aug-11,"8,466"
02-Sep-11,"7,717"
09-Sep-11,"8,769"
16-Sep-11,"8,612"
23-Sep-11,"8,527"
30-Sep-11,"8,919"
07-Oct-11,"8,719"
14-Oct-11,"8,705"
21-Oct-11,"8,638"
28-Oct-11,"9,139"
04-Nov-11,"9,640"
11-Nov-11,"9,042"
18-Nov-11,"9,305"
25-Nov-11,"9,166"
02-Dec-11,"9,203"
09-Dec-11,"9,828"
16-Dec-11,"10,348"
23-Dec-11,"11,151"
30-Dec-11,"8,472"
06-Jan-12,"10,514"
13-Jan-12,"11,343"
20-Jan-12,"10,393"
27-Jan-12,"10,320"
03-Feb-12,"10,117"
10-Feb-12,"10,287"
17-Feb-12,"10,532"
24-Feb-12,"11,086"
02-Mar-12,"10,945"
09-Mar-12,"10,507"
16-Mar-12,"10,041"
23-Mar-12,"9,864"
30-Mar-12,"9,634"
06-Apr-12,"8,520"
13-Apr-12,"9,992"
20-Apr-12,"10,816"
27-Apr-12,"10,238"
04-May-12,"9,957"
11-May-12,"8,868"
18-May-12,"9,913"
25-May-12,"9,602"
01-Jun-12,"9,602"
08-Jun-12,"6,781"
15-Jun-12,"10,170"
22-Jun-12,"9,054"
29-Jun-12,"8,856"
06-Jul-12,"8,909"
13-Jul-12,"8,754"
20-Jul-12,"8,684"
27-Jul-12,"8,877"
03-Aug-12,"8,942"
10-Aug-12,"8,810"
17-Aug-12,"8,776"
24-Aug-12,"8,977"
31-Aug-12,"7,617"
07-Sep-12,"8,848"
14-Sep-12,"8,641"
21-Sep-12,"8,839"
28-Sep-12,"8,865"
05-Oct-12,"9,070"
12-Oct-12,"9,441"
19-Oct-12,"9,284"
26-Oct-12,"9,550"
02-Nov-12,"9,335"
09-Nov-12,"9,683"
16-Nov-12,"9,900"
23-Nov-12,"9,679"
30-Nov-12,"9,394"
07-Dec-12,"9,844"
14-Dec-12,"10,388"
21-Dec-12,"11,461"
28-Dec-12,"8,096"
04-Jan-13,"11,620"
11-Jan-13,"12,541"
18-Jan-13,"11,075"
25-Jan-13,"11,262"
01-Feb-13,"11,314"
08-Feb-13,"11,044"
15-Feb-13,"11,030"
22-Feb-13,"10,850"
01-Mar-13,"10,783"
08-Mar-13,"11,245"
15-Mar-13,"11,180"
22-Mar-13,"11,075"
29-Mar-13,"9,280"
05-Apr-13,"10,890"
12-Apr-13,"12,147"
19-Apr-13,"11,752"
26-Apr-13,"10,625"
03-May-13,"10,169"
10-May-13,"8,814"
17-May-13,"9,847"
24-May-13,"9,530"
31-May-13,"8,333"
07-Jun-13,"9,482"
14-Jun-13,"8,869"
21-Jun-13,"8,904"
28-Jun-13,"8,589"
05-Jul-13,"8,790"
12-Jul-13,"8,533"
19-Jul-13,"8,790"
26-Jul-13,"8,476"
02-Aug-13,"8,159"
09-Aug-13,"8,280"
16-Aug-13,"8,231"
23-Aug-13,"8,579"
30-Aug-13,"7,688"
06-Sep-13,"8,905"
13-Sep-13,"8,347"
20-Sep-13,"8,635"
27-Sep-13,"9,155"
04-Oct-13,"9,191"
11-Oct-13,"8,939"
18-Oct-13,"9,237"
25-Oct-13,"9,236"
01-Nov-13,"9,107"
08-Nov-13,"9,449"
15-Nov-13,"9,583"
22-Nov-13,"9,587"
29-Nov-13,"9,636"
06-Dec-13,"9,908"
13-Dec-13,"10,033"
20-Dec-13,"10,335"
27-Dec-13,"6,606"
03-Jan-14,"11,448"
10-Jan-14,"11,847"
17-Jan-14,"11,061"
24-Jan-14,"10,374"
31-Jan-14,"10,258"
07-Feb-14,"10,147"
14-Feb-14,"10,198"
21-Feb-14,"10,427"
28-Feb-14,"10,377"
07-Mar-14,"9,828"
14-Mar-14,"10,005"
21-Mar-14,"9,832"
28-Mar-14,"9,622"
04-Apr-14,"9,944"
11-Apr-14,"9,504"
18-Apr-14,"8,000"
25-Apr-14,"9,359"
02-May-14,"10,527"
09-May-14,"8,613"
16-May-14,"9,513"
23-May-14,"9,313"
30-May-14,"8,034"
06-Jun-14,"9,557"
13-Jun-14,"9,414"
20-Jun-14,"8,946"
27-Jun-14,"8,931"
04-Jul-14,"8,763"
11-Jul-14,"8,784"
18-Jul-14,"9,119"
25-Jul-14,"8,965"
01-Aug-14,"8,916"
08-Aug-14,"8,755"
15-Aug-14,"8,792"
22-Aug-14,"8,769"
29-Aug-14,"8,027"
05-Sep-14,"9,671"
12-Sep-14,"9,284"
19-Sep-14,"9,107"
26-Sep-14,"9,048"
03-Oct-14,"9,271"
10-Oct-14,"9,173"
17-Oct-14,"9,464"
24-Oct-14,"9,603"
31-Oct-14,"9,586"
07-Nov-14,"9,753"
14-Nov-14,"10,036"
21-Nov-14,"9,472"
28-Nov-14,"9,928"
05-Dec-14,"10,267"
12-Dec-14,"10,550"
19-Dec-14,"11,681"
26-Dec-14,"7,837"
02-Jan-15,"12,286"
09-Jan-15,"16,237"
16-Jan-15,"14,866"
23-Jan-15,"13,934"
30-Jan-15,"12,900"
06-Feb-15,"12,039"
13-Feb-15,"11,822"
20-Feb-15,"11,434"
27-Feb-15,"11,472"
06-Mar-15,"11,469"
13-Mar-15,"10,951"
20-Mar-15,"10,568"
27-Mar-15,"10,493"
03-Apr-15,"9,062"
10-Apr-15,"10,089"
17-Apr-15,"11,639"
24-Apr-15,"10,599"
01-May-15,"10,134"
08-May-15,"8,862"
15-May-15,"10,290"
22-May-15,"10,005"
29-May-15,"8,213"
05-Jun-15,"10,157"
12-Jun-15,"9,548"
19-Jun-15,"9,312"
26-Jun-15,"9,190"
03-Jul-15,"9,205"
10-Jul-15,"9,015"
17-Jul-15,"8,802"
24-Jul-15,"8,791"
31-Jul-15,"8,617"
07-Aug-15,"8,862"
14-Aug-15,"9,148"
21-Aug-15,"9,121"
28-Aug-15,"9,026"
04-Sep-15,"7,878"
11-Sep-15,"9,258"
18-Sep-15,"9,097"
25-Sep-15,"9,529"
02-Oct-15,"9,410"
09-Oct-15,"9,776"
16-Oct-15,"9,511"
23-Oct-15,"9,711"
30-Oct-15,"9,618"
06-Nov-15,"9,994"
13-Nov-15,"9,938"
20-Nov-15,"9,830"
27-Nov-15,"9,822"
04-Dec-15,"10,365"
11-Dec-15,"10,269"
18-Dec-15,"10,689"
25-Dec-15,"8,630"
01-Jan-16,"7,524"
08-Jan-16,"13,045"
15-Jan-16,"11,501"
22-Jan-16,"11,473"
29-Jan-16,"11,317"
05-Feb-16,"11,052"
12-Feb-16,"11,170"
19-Feb-16,"10,590"
26-Feb-16,"11,056"
04-Mar-16,"11,285"
11-Mar-16,"11,010"
18-Mar-16,"11,022"
25-Mar-16,"9,635"
01-Apr-16,"10,286"
08-Apr-16,"11,599"
15-Apr-16,"11,417"
22-Apr-16,"10,925"
29-Apr-16,"10,413"
06-May-16,"9,137"
13-May-16,"10,637"
20-May-16,"9,953"
27-May-16,"9,739"
03-Jun-16,"7,909"
10-Jun-16,"9,873"
17-Jun-16,"9,386"
24-Jun-16,"9,365"
01-Jul-16,"9,228"
08-Jul-16,"9,138"
15-Jul-16,"9,388"
22-Jul-16,"9,350"
29-Jul-16,"9,335"
05-Aug-16,"9,182"
12-Aug-16,"9,172"
19-Aug-16,"9,070"
26-Aug-16,"9,319"
02-Sep-16,"7,923"
09-Sep-16,"9,399"
16-Sep-16,"9,124"
23-Sep-16,"8,945"
30-Sep-16,"8,994"
07-Oct-16,"9,291"
14-Oct-16,"9,719"
21-Oct-16,"9,768"
28-Oct-16,"9,724"
04-Nov-16,"10,152"
11-Nov-16,"10,470"
18-Nov-16,"10,694"
25-Nov-16,"10,603"
02-Dec-16,"10,439"
09-Dec-16,"11,223"
16-Dec-16,"10,533"
23-Dec-16,"11,493"
30-Dec-16,"8,003"
06-Jan-17,"11,991"
13-Jan-17,"13,715"
20-Jan-17,"13,610"
27-Jan-17,"12,877"
03-Feb-17,"12,485"
10-Feb-17,"12,269"
17-Feb-17,"11,644"
24-Feb-17,"11,794"
03-Mar-17,"11,248"
10-Mar-17,"11,077"
17-Mar-17,"10,697"
24-Mar-17,"10,325"
31-Mar-17,"10,027"
07-Apr-17,"9,939"
14-Apr-17,"8,493"
21-Apr-17,"9,644"
28-Apr-17,"10,908"
05-May-17,"9,064"
12-May-17,"10,693"
19-May-17,"10,288"
26-May-17,"10,040"
02-Jun-17,"8,332"
09-Jun-17,"9,766"
16-Jun-17,"9,367"
23-Jun-17,"9,627"
30-Jun-17,"9,334"
07-Jul-17,"9,263"
14-Jul-17,"9,376"
21-Jul-17,"9,113"
28-Jul-17,"8,882"
04-Aug-17,"8,941"
11-Aug-17,"9,038"
18-Aug-17,"9,299"
25-Aug-17,"9,382"
01-Sep-17,"8,149"
08-Sep-17,"9,497"
15-Sep-17,"9,454"
22-Sep-17,"9,534"
29-Sep-17,"9,689"
06-Oct-17,"9,778"
13-Oct-17,"9,940"
20-Oct-17,"10,031"
27-Oct-17,"9,739"
03-Nov-17,"9,984"
10-Nov-17,"10,346"
17-Nov-17,"10,275"
24-Nov-17,"10,621"
01-Dec-17,"10,538"
08-Dec-17,"10,781"
15-Dec-17,"11,217"
22-Dec-17,"12,517"
29-Dec-17,"8,487"
05-Jan-18,"12,723"
12-Jan-18,"15,050"
19-Jan-18,"14,256"
26-Jan-18,"13,935"
02-Feb-18,"13,285"
09-Feb-18,"12,495"
16-Feb-18,"12,246"
23-Feb-18,"12,142"
02-Mar-18,"10,854"
09-Mar-18,"12,997"
16-Mar-18,"12,788"
23-Mar-18,"11,913"
30-Mar-18,"9,941"
06-Apr-18,"10,794"
13-Apr-18,"12,301"
20-Apr-18,"11,223"
27-Apr-18,"10,306"
04-May-18,"10,153"
11-May-18,"8,624"
18-May-18,"10,141"
25-May-18,"9,636"
01-Jun-18,"8,147"
08-Jun-18,"9,950"
15-Jun-18,"9,343"
22-Jun-18,"9,256"
29-Jun-18,"9,212"
06-Jul-18,"9,258"
13-Jul-18,"9,293"
20-Jul-18,"9,127"
27-Jul-18,"9,141"
03-Aug-18,"9,161"
10-Aug-18,"9,319"
17-Aug-18,"8,830"
24-Aug-18,"8,978"
31-Aug-18,"7,865"
07-Sep-18,"9,445"
14-Sep-18,"9,191"
21-Sep-18,"9,305"
28-Sep-18,"9,150"
05-Oct-18,"9,503"
12-Oct-18,"9,649"
19-Oct-18,"9,864"
26-Oct-18,"9,603"
02-Nov-18,"9,529"
09-Nov-18,"10,151"
16-Nov-18,"10,193"
23-Nov-18,"9,957"
30-Nov-18,"10,033"
07-Dec-18,"10,287"
14-Dec-18,"10,550"
21-Dec-18,"11,116"
28-Dec-18,"7,131"
04-Jan-19,"10,955"
11-Jan-19,"12,609"
18-Jan-19,"11,860"
25-Jan-19,"11,740"
01-Feb-19,"11,297"
08-Feb-19,"11,660"
15-Feb-19,"11,824"
22-Feb-19,"11,295"
01-Mar-19,"11,044"
08-Mar-19,"10,898"
15-Mar-19,"10,567"
22-Mar-19,"10,402"
29-Mar-19,"9,867"
05-Apr-19,"10,126"
12-Apr-19,"10,291"
19-Apr-19,"9,025"
26-Apr-19,"10,059"
03-May-19,"11,207"
10-May-19,"9,055"
17-May-19,"10,272"
24-May-19,"10,284"
31-May-19,"8,260"
07-Jun-19,"10,140"
14-Jun-19,"9,445"
21-Jun-19,"9,458"
28-Jun-19,"9,511"
05-Jul-19,"9,062"
12-Jul-19,"9,179"
19-Jul-19,"9,080"
26-Jul-19,"9,112"
02-Aug-19,"9,271"
09-Aug-19,"9,122"
16-Aug-19,"9,093"
23-Aug-19,"8,994"
30-Aug-19,"8,242"
06-Sep-19,"9,695"
13-Sep-19,"9,513"
20-Sep-19,"9,440"
27-Sep-19,"9,517"
04-Oct-19,"9,799"
11-Oct-19,"9,973"
18-Oct-19,"10,156"
25-Oct-19,"10,021"
01-Nov-19,"10,164"
08-Nov-19,"10,697"
15-Nov-19,"10,650"
22-Nov-19,"10,882"
29-Nov-19,"10,958"
06-Dec-19,"10,816"
13-Dec-19,"11,188"
20-Dec-19,"11,926"
27-Dec-19,"7,533"
03-Jan-20,"12,254"
10-Jan-20,"14,058"
17-Jan-20,"12,990"
24-Jan-20,"11,856"
31-Jan-20,"11,612"
07-Feb-20,"10,986"
14-Feb-20,"10,944"
21-Feb-20,"10,841"
28-Feb-20,"10,816"
06-Mar-20,"10,895"
13-Mar-20,"11,019"
20-Mar-20,"10,645"
27-Mar-20,"11,141"
03-Apr-20,"16,387"
10-Apr-20,"18,516"
17-Apr-20,"22,351"
24-Apr-20,"21,997"
01-May-20,"17,953"
08-May-20,"12,657"
15-May-20,"14,573"
22-May-20,"12,288"
29-May-20,"9,824"
05-Jun-20,"10,709"
12-Jun-20,"9,976"
19-Jun-20,"9,339"
26-Jun-20,"8,979"
03-Jul-20,"9,140"
10-Jul-20,"8,690"
17-Jul-20,"8,823"
24-Jul-20,"8,891"
31-Jul-20,"8,946"
07-Aug-20,"8,945"
14-Aug-20,"9,392"
21-Aug-20,"9,631"
28-Aug-20,"9,032"
04-Sep-20,"7,739"
11-Sep-20,"9,811"
18-Sep-20,"9,523"
25-Sep-20,"9,634"
02-Oct-20,"9,945"
09-Oct-20,"9,954"
16-Oct-20,"10,534"
23-Oct-20,"10,739"
30-Oct-20,"10,887"
06-Nov-20,"11,812"
13-Nov-20,"12,254"
20-Nov-20,"12,535"
27-Nov-20,"12,456"
04-Dec-20,"12,303"
11-Dec-20,"12,292"
18-Dec-20,"13,011"
25-Dec-20,"11,520"
01-Jan-21,"10,069"
08-Jan-21,"17,751"
15-Jan-21,"18,042"
22-Jan-21,"18,676"
29-Jan-21,"18,448"
05-Feb-21,"17,192"
12-Feb-21,"15,354"
19-Feb-21,"13,809"
26-Feb-21,"12,614"
05-Mar-21,"11,592"
12-Mar-21,"10,987"
19-Mar-21,"10,311"
